2023-11-02 17:19:08.004 | INFO     | libs.master:execute:199 - 线程id: e02e7868-7960-11ee-88da-0242ac120002 任务执行中。
2023-11-02 17:19:08.005 | INFO     | libs.master:_execute:155 - 线程id: e02e7868-7960-11ee-88da-0242ac120002 获取任务信息成功
2023-11-02 17:19:08.006 | INFO     | libs.worker:worker_watch_dog:114 - 子进程获取到请求任务。
2023-11-02 17:19:08.008 | INFO     | libs.worker:execute:99 - 子进程开始执行请求任务。
2023-11-02 17:19:08.497 | INFO     | libs.master:_thread_task_manager:225 - current_task_number: 1
2023-11-02 17:19:08.511 | INFO     | libs.master:_manager_subprocess:129 - current_task_number: 2
2023-11-02 17:19:09.498 | INFO     | libs.master:_thread_task_manager:225 - current_task_number: 1
2023-11-02 17:19:09.512 | INFO     | libs.master:_manager_subprocess:129 - current_task_number: 2
2023-11-02 17:19:10.499 | INFO     | libs.master:_thread_task_manager:225 - current_task_number: 1
2023-11-02 17:19:10.515 | INFO     | libs.master:_manager_subprocess:129 - current_task_number: 2
2023-11-02 17:19:10.977 | INFO     | libs.worker:execute:101 - 子进程执行请求任务完成。
2023-11-02 17:19:10.982 | INFO     | libs.master:_execute:169 - 线程id: e02e7868-7960-11ee-88da-0242ac120002 获取到子进程执行结果，任务结束。
2023-11-02 17:19:10.983 | INFO     | libs.app:get_content:46 - 任务执行成功
2023-11-02 17:19:11.067 | INFO     | libs.master:watch_dog:237 - 获取到api接口任务，准备执行任务。
2023-11-02 17:19:11.068 | INFO     | libs.app:get_content:38 - 发送具体任务
2023-11-02 17:19:11.068 | INFO     | libs.master:execute:191 - 获取线程id e2024a52-7960-11ee-88da-0242ac120002 成功，创建子线程执行任务。
2023-11-02 17:19:11.073 | INFO     | libs.master:_execute:144 - 线程id: e2024a52-7960-11ee-88da-0242ac120002 获取子进程成功
2023-11-02 17:19:11.073 | INFO     | libs.master:execute:199 - 线程id: e2024a52-7960-11ee-88da-0242ac120002 任务执行中。
2023-11-02 17:19:11.074 | INFO     | libs.master:_execute:155 - 线程id: e2024a52-7960-11ee-88da-0242ac120002 获取任务信息成功
2023-11-02 17:19:11.076 | INFO     | libs.worker:worker_watch_dog:114 - 子进程获取到请求任务。
2023-11-02 17:19:11.077 | INFO     | libs.worker:execute:99 - 子进程开始执行请求任务。
2023-11-02 17:19:11.500 | INFO     | libs.master:_thread_task_manager:225 - current_task_number: 1
2023-11-02 17:19:11.521 | INFO     | libs.master:_manager_subprocess:129 - current_task_number: 2
2023-11-02 17:19:12.501 | INFO     | libs.master:_thread_task_manager:225 - current_task_number: 1
2023-11-02 17:19:12.522 | INFO     | libs.master:_manager_subprocess:129 - current_task_number: 2
2023-11-02 17:19:13.502 | INFO     | libs.master:_thread_task_manager:225 - current_task_number: 1
2023-11-02 17:19:13.524 | INFO     | libs.master:_manager_subprocess:129 - current_task_number: 2
2023-11-02 17:19:14.241 | INFO     | libs.worker:execute:101 - 子进程执行请求任务完成。
2023-11-02 17:19:14.246 | INFO     | libs.master:_execute:169 - 线程id: e2024a52-7960-11ee-88da-0242ac120002 获取到子进程执行结果，任务结束。
2023-11-02 17:19:14.247 | INFO     | libs.app:get_content:46 - 任务执行成功
2023-11-02 17:19:14.268 | INFO     | libs.app:get_content:38 - 发送具体任务
2023-11-02 17:19:14.270 | INFO     | libs.master:watch_dog:237 - 获取到api接口任务，准备执行任务。
2023-11-02 17:19:14.272 | INFO     | libs.master:execute:191 - 获取线程id e3eb2ab4-7960-11ee-88da-0242ac120002 成功，创建子线程执行任务。
2023-11-02 17:19:14.273 | INFO     | libs.master:_execute:144 - 线程id: e3eb2ab4-7960-11ee-88da-0242ac120002 获取子进程成功
2023-11-02 17:19:14.273 | INFO     | libs.master:execute:199 - 线程id: e3eb2ab4-7960-11ee-88da-0242ac120002 任务执行中。
